iter	Passed	Remaining
0	224	224164
1	226	113129
2	228	75920
3	230	57358
4	232	46302
5	235	38990
6	238	33771
7	240	29812
8	243	26833
9	245	24333
10	248	22313
11	250	20604
12	252	19195
13	255	17978
14	257	16912
15	259	15966
16	261	15146
17	263	14399
18	265	13729
19	267	13114
20	269	12560
21	270	12045
22	272	11585
23	275	11195
24	277	10812
25	279	10480
26	281	10152
27	283	9833
28	284	9540
29	286	9270
30	288	9023
31	291	8809
32	294	8630
33	297	8440
34	300	8277
35	302	8108
36	304	7937
37	307	7773
38	309	7632
39	311	7481
40	313	7333
41	315	7191
42	317	7061
43	319	6945
44	321	6832
45	323	6715
46	325	6598
47	327	6494
48	329	6387
49	330	6282
50	332	6186
51	334	6101
52	336	6012
53	338	5926
54	340	5843
55	342	5765
56	343	5689
57	346	5621
58	349	5569
59	350	5495
60	352	5422
61	353	5354
62	355	5290
63	357	5225
64	359	5164
65	361	5111
66	365	5084
67	366	5026
68	369	4987
69	372	4948
70	374	4895
71	377	4865
72	379	4823
73	381	4774
74	383	4725
75	385	4682
76	387	4642
77	388	4596
78	391	4560
79	393	4523
80	395	4488
81	398	4457
82	400	4424
83	402	4389
84	404	4349
85	406	4317
86	407	4281
87	410	4250
88	412	4219
89	414	4189
90	415	4153
91	417	4123
92	420	4098
93	422	4071
94	424	4045
95	426	4014
96	427	3981
97	429	3950
98	431	3925
99	433	3899
100	434	3871
101	435	3836
102	437	3812
103	439	3788
104	441	3760
105	442	3733
106	444	3708
107	446	3686
108	448	3664
109	450	3642
110	452	3625
111	454	3606
112	456	3586
113	458	3565
114	461	3548
115	462	3525
116	464	3507
117	466	3486
118	468	3465
119	470	3448
120	472	3429
121	474	3416
122	476	3395
123	478	3380
124	480	3365
125	484	3360
126	485	3339
127	487	3318
128	489	3303
129	491	3289
130	493	3273
131	495	3257
132	497	3241
133	499	3226
134	501	3216
135	504	3202
136	505	3185
137	507	3167
138	509	3153
139	511	3141
140	513	3130
141	515	3117
142	517	3103
143	519	3089
144	521	3076
145	523	3063
146	525	3049
147	527	3037
148	530	3027
149	531	3013
150	533	2999
151	535	2985
152	536	2970
153	538	2957
154	539	2943
155	542	2932
156	544	2922
157	546	2910
158	547	2897
159	549	2885
160	551	2873
161	553	2861
162	554	2849
163	557	2839
164	559	2831
165	561	2819
166	562	2807
167	564	2795
168	566	2783
169	567	2771
170	569	2759
171	570	2747
172	572	2738
173	574	2727
174	575	2715
175	577	2703
176	578	2691
177	580	2679
178	581	2667
179	583	2655
180	583	2640
181	585	2629
182	586	2620
183	588	2611
184	590	2600
185	591	2590
186	593	2579
187	594	2568
188	596	2558
189	597	2547
190	598	2537
191	600	2529
192	602	2519
193	604	2511
194	605	2501
195	607	2491
196	608	2481
197	610	2472
198	612	2464
199	614	2456
200	615	2447
201	617	2438
202	619	2430
203	620	2422
204	622	2414
205	624	2405
206	625	2396
207	627	2388
208	629	2381
209	630	2372
210	632	2363
211	633	2355
212	635	2347
213	637	2339
214	638	2331
215	640	2323
216	641	2314
217	643	2306
218	644	2299
219	646	2291
220	648	2284
221	649	2276
222	651	2268
223	652	2260
224	653	2252
225	655	2244
226	656	2236
227	658	2229
228	660	2222
229	661	2215
230	663	2210
231	666	2204
232	667	2197
233	669	2191
234	670	2184
235	672	2177
236	674	2170
237	675	2163
238	677	2156
239	678	2149
240	680	2144
241	682	2137
242	684	2131
243	685	2125
244	687	2118
245	689	2111
246	690	2105
247	692	2099
248	693	2092
249	695	2087
250	697	2080
251	698	2074
252	700	2069
253	702	2063
254	704	2058
255	706	2052
256	708	2047
257	710	2042
258	711	2036
259	713	2031
260	715	2025
261	717	2019
262	718	2013
263	720	2008
264	722	2002
265	723	1996
266	725	1991
267	727	1986
268	728	1980
269	730	1975
270	732	1969
271	733	1963
272	735	1957
273	736	1951
274	737	1945
275	739	1939
276	741	1934
277	743	1932
278	746	1928
279	748	1924
280	750	1920
281	752	1915
282	753	1909
283	755	1905
284	757	1901
285	760	1897
286	762	1893
287	763	1888
288	765	1884
289	767	1878
290	769	1875
291	772	1872
292	774	1867
293	775	1862
294	777	1857
295	778	1852
296	780	1846
297	781	1841
298	783	1836
299	785	1832
300	787	1827
301	788	1822
302	790	1817
303	791	1812
304	793	1807
305	794	1801
306	796	1797
307	797	1791
308	799	1786
309	801	1784
310	803	1779
311	804	1774
312	806	1769
313	807	1764
314	809	1759
315	810	1754
316	812	1749
317	814	1746
318	816	1742
319	818	1738
320	819	1733
321	820	1728
322	822	1723
323	823	1719
324	825	1714
325	826	1709
326	828	1705
327	830	1700
328	831	1696
329	833	1691
330	834	1687
331	836	1682
332	837	1677
333	839	1672
334	840	1668
335	842	1664
336	843	1660
337	845	1656
338	847	1652
339	849	1648
340	850	1644
341	852	1639
342	853	1635
343	855	1631
344	857	1627
345	858	1623
346	860	1619
347	862	1615
348	864	1611
349	865	1607
350	867	1603
351	869	1599
352	871	1597
353	873	1593
354	874	1589
355	876	1585
356	878	1581
357	880	1578
358	881	1574
359	883	1570
360	884	1566
361	886	1562
362	887	1558
363	889	1554
364	891	1550
365	893	1547
366	895	1543
367	896	1539
368	898	1535
369	899	1531
370	901	1528
371	902	1524
372	904	1520
373	906	1517
374	908	1514
375	910	1510
376	911	1506
377	913	1503
378	915	1499
379	916	1495
380	918	1492
381	919	1488
382	921	1484
383	923	1481
384	924	1477
385	927	1474
386	928	1471
387	930	1468
388	932	1464
389	933	1460
390	935	1456
391	936	1453
392	938	1450
393	940	1446
394	942	1443
395	944	1440
396	945	1436
397	947	1432
398	948	1429
399	950	1425
400	952	1422
401	953	1419
402	955	1415
403	957	1412
404	958	1408
405	960	1405
406	962	1401
407	963	1398
408	965	1394
409	966	1390
410	968	1387
411	970	1384
412	971	1381
413	973	1378
414	974	1374
415	976	1370
416	977	1366
417	979	1363
418	980	1359
419	982	1356
420	983	1353
421	985	1350
422	987	1346
423	989	1343
424	990	1340
425	991	1336
426	993	1333
427	994	1329
428	996	1326
429	998	1323
430	999	1320
431	1001	1316
432	1002	1313
433	1004	1310
434	1006	1306
435	1007	1303
436	1009	1300
437	1010	1296
438	1012	1293
439	1014	1290
440	1016	1288
441	1017	1284
442	1019	1281
443	1020	1278
444	1022	1275
445	1023	1271
446	1025	1268
447	1027	1266
448	1029	1262
449	1031	1260
450	1033	1257
451	1034	1254
452	1036	1251
453	1037	1248
454	1039	1244
455	1041	1242
456	1043	1239
457	1044	1236
458	1046	1233
459	1048	1230
460	1049	1227
461	1051	1224
462	1052	1221
463	1054	1218
464	1056	1215
465	1057	1212
466	1059	1209
467	1061	1206
468	1063	1203
469	1064	1200
470	1066	1197
471	1067	1194
472	1069	1191
473	1071	1188
474	1072	1185
475	1074	1182
476	1076	1179
477	1077	1176
478	1079	1173
479	1080	1170
480	1082	1167
481	1083	1164
482	1085	1161
483	1086	1158
484	1088	1155
485	1089	1152
486	1091	1149
487	1093	1146
488	1094	1144
489	1096	1141
490	1098	1138
491	1100	1135
492	1101	1132
493	1103	1130
494	1104	1127
495	1106	1124
496	1108	1121
497	1110	1119
498	1112	1117
499	1115	1115
500	1117	1112
501	1118	1109
502	1120	1107
503	1122	1104
504	1123	1101
505	1126	1099
506	1128	1097
507	1129	1094
508	1131	1091
509	1133	1088
510	1134	1085
511	1136	1082
512	1138	1080
513	1139	1077
514	1141	1074
515	1143	1072
516	1144	1069
517	1146	1066
518	1147	1063
519	1149	1061
520	1151	1058
521	1153	1055
522	1155	1053
523	1157	1051
524	1158	1048
525	1160	1045
526	1161	1042
527	1163	1040
528	1165	1037
529	1166	1034
530	1168	1031
531	1169	1029
532	1171	1026
533	1173	1023
534	1174	1021
535	1176	1018
536	1178	1015
537	1179	1012
538	1181	1010
539	1183	1008
540	1185	1005
541	1186	1002
542	1188	1000
543	1189	997
544	1191	994
545	1192	991
546	1193	988
547	1195	985
548	1196	983
549	1198	980
550	1200	978
551	1201	975
552	1203	972
553	1204	969
554	1206	967
555	1208	965
556	1210	962
557	1213	961
558	1215	958
559	1217	956
560	1218	953
561	1220	951
562	1222	948
563	1223	945
564	1225	943
565	1227	940
566	1228	938
567	1230	935
568	1232	933
569	1233	930
570	1235	928
571	1237	925
572	1238	923
573	1240	920
574	1242	918
575	1244	915
576	1246	913
577	1248	911
578	1249	908
579	1251	906
580	1253	903
581	1255	901
582	1256	898
583	1258	896
584	1259	893
585	1261	891
586	1263	888
587	1264	886
588	1266	883
589	1267	880
590	1269	878
591	1271	876
592	1273	873
593	1275	871
594	1278	869
595	1280	867
596	1281	865
597	1283	862
598	1285	860
599	1287	858
600	1289	855
601	1290	853
602	1292	851
603	1294	848
604	1296	846
605	1298	844
606	1300	842
607	1302	839
608	1304	837
609	1306	835
610	1307	832
611	1308	829
612	1310	827
613	1312	825
614	1314	822
615	1315	820
616	1317	817
617	1319	815
618	1321	813
619	1323	811
620	1325	808
621	1327	806
622	1329	804
623	1331	802
624	1333	799
625	1334	797
626	1336	794
627	1337	792
628	1339	790
629	1341	787
630	1343	785
631	1344	783
632	1346	780
633	1348	778
634	1350	776
635	1353	774
636	1355	772
637	1357	770
638	1359	768
639	1361	765
640	1362	763
641	1364	760
642	1366	758
643	1368	756
644	1370	754
645	1371	751
646	1373	749
647	1375	747
648	1377	744
649	1379	742
650	1380	740
651	1383	738
652	1384	735
653	1386	733
654	1387	731
655	1389	728
656	1391	726
657	1392	723
658	1394	721
659	1397	720
660	1399	717
661	1401	715
662	1403	713
663	1404	710
664	1406	708
665	1408	706
666	1410	704
667	1412	701
668	1414	699
669	1415	697
670	1417	695
671	1419	692
672	1421	690
673	1423	688
674	1425	686
675	1427	683
676	1428	681
677	1430	679
678	1432	677
679	1433	674
680	1435	672
681	1436	669
682	1438	667
683	1440	665
684	1442	663
685	1443	660
686	1445	658
687	1447	656
688	1448	654
689	1450	651
690	1452	649
691	1453	647
692	1456	645
693	1458	642
694	1459	640
695	1461	638
696	1463	636
697	1465	633
698	1467	632
699	1469	629
700	1471	627
701	1474	625
702	1475	623
703	1477	621
704	1479	618
705	1480	616
706	1482	614
707	1485	612
708	1486	610
709	1488	608
710	1490	605
711	1491	603
712	1493	601
713	1496	599
714	1497	596
715	1499	594
716	1501	592
717	1503	590
718	1505	588
719	1507	586
720	1508	583
721	1510	581
722	1512	579
723	1514	577
724	1516	575
725	1518	572
726	1519	570
727	1522	568
728	1523	566
729	1525	564
730	1527	561
731	1528	559
732	1530	557
733	1532	555
734	1534	553
735	1536	551
736	1538	548
737	1539	546
738	1541	544
739	1543	542
740	1544	539
741	1546	537
742	1547	535
743	1549	533
744	1551	531
745	1553	528
746	1554	526
747	1556	524
748	1558	522
749	1559	519
750	1561	517
751	1563	515
752	1565	513
753	1567	511
754	1569	509
755	1570	506
756	1572	504
757	1574	502
758	1575	500
759	1577	498
760	1579	495
761	1580	493
762	1582	491
763	1583	489
764	1585	487
765	1587	484
766	1588	482
767	1590	480
768	1592	478
769	1594	476
770	1596	474
771	1597	471
772	1599	469
773	1600	467
774	1602	465
775	1604	463
776	1606	460
777	1608	459
778	1610	456
779	1612	454
780	1613	452
781	1615	450
782	1617	448
783	1618	445
784	1620	443
785	1622	441
786	1624	439
787	1626	437
788	1627	435
789	1629	433
790	1631	431
791	1633	428
792	1634	426
793	1636	424
794	1638	422
795	1640	420
796	1641	418
797	1643	415
798	1644	413
799	1646	411
800	1648	409
801	1650	407
802	1651	405
803	1653	403
804	1655	400
805	1656	398
806	1658	396
807	1660	394
808	1661	392
809	1663	390
810	1665	388
811	1666	385
812	1668	383
813	1670	381
814	1672	379
815	1673	377
816	1675	375
817	1676	373
818	1678	370
819	1680	368
820	1681	366
821	1684	364
822	1686	362
823	1687	360
824	1689	358
825	1691	356
826	1693	354
827	1694	352
828	1696	349
829	1699	348
830	1701	345
831	1703	343
832	1704	341
833	1707	339
834	1708	337
835	1710	335
836	1711	333
837	1713	331
838	1715	329
839	1716	327
840	1718	324
841	1720	322
842	1722	320
843	1724	318
844	1725	316
845	1727	314
846	1728	312
847	1730	310
848	1732	308
849	1733	305
850	1736	304
851	1738	301
852	1740	299
853	1741	297
854	1743	295
855	1745	293
856	1747	291
857	1748	289
858	1750	287
859	1752	285
860	1754	283
861	1755	281
862	1757	278
863	1759	276
864	1760	274
865	1762	272
866	1764	270
867	1765	268
868	1767	266
869	1769	264
870	1770	262
871	1771	260
872	1773	257
873	1775	255
874	1777	253
875	1779	251
876	1780	249
877	1782	247
878	1784	245
879	1785	243
880	1787	241
881	1788	239
882	1790	237
883	1792	235
884	1793	233
885	1795	231
886	1797	228
887	1798	226
888	1800	224
889	1801	222
890	1803	220
891	1805	218
892	1807	216
893	1808	214
894	1810	212
895	1812	210
896	1813	208
897	1815	206
898	1816	204
899	1818	202
900	1819	199
901	1821	197
902	1823	195
903	1824	193
904	1826	191
905	1827	189
906	1829	187
907	1830	185
908	1831	183
909	1833	181
910	1834	179
911	1837	177
912	1838	175
913	1840	173
914	1841	171
915	1843	169
916	1844	166
917	1846	164
918	1847	162
919	1849	160
920	1851	158
921	1853	156
922	1856	154
923	1857	152
924	1859	150
925	1860	148
926	1862	146
927	1864	144
928	1865	142
929	1867	140
930	1869	138
931	1870	136
932	1872	134
933	1874	132
934	1875	130
935	1876	128
936	1878	126
937	1879	124
938	1881	122
939	1883	120
940	1884	118
941	1886	116
942	1887	114
943	1889	112
944	1890	110
945	1891	107
946	1893	105
947	1895	103
948	1896	101
949	1898	99
950	1900	97
951	1901	95
952	1903	93
953	1904	91
954	1906	89
955	1908	87
956	1909	85
957	1911	83
958	1912	81
959	1914	79
960	1915	77
961	1917	75
962	1918	73
963	1920	71
964	1922	69
965	1923	67
966	1925	65
967	1927	63
968	1929	61
969	1930	59
970	1932	57
971	1933	55
972	1935	53
973	1937	51
974	1938	49
975	1940	47
976	1941	45
977	1943	43
978	1944	41
979	1946	39
980	1947	37
981	1950	35
982	1952	33
983	1953	31
984	1955	29
985	1956	27
986	1958	25
987	1960	23
988	1961	21
989	1962	19
990	1964	17
991	1966	15
992	1967	13
993	1969	11
994	1971	9
995	1973	7
996	1975	5
997	1976	3
998	1978	1
999	1980	0
